圣彼得堡,1,1.479009891618155e-06,国外,
泾县,1,1.479009891618155e-06,宣城,
东南,1,1.479009891618155e-06,东南,
测试,1,1.479009891618155e-06,,
荆门,1,1.479009891618155e-06,湖北,
博尔塔拉,1,1.479009891618155e-06,国外,
海门,1,1.479009891618155e-06,南通,
韶关,2,2.95801978323631e-06,广东,
太仓,2,2.95801978323631e-06,苏州,
定州,2,2.95801978323631e-06,河北,
蓬莱,2,2.95801978323631e-06,山东,
昆山,2,2.95801978323631e-06,江苏,
延边,2,2.95801978323631e-06,吉林,
湘西,2,2.95801978323631e-06,湖南,
资阳,2,2.95801978323631e-06,四川,
黄冈,2,2.95801978323631e-06,湖北,
丰台区,3,4.4370296748544656e-06,北京,
铜陵,3,4.4370296748544656e-06,安徽,
南安,3,4.4370296748544656e-06,泉州,
四川,3,4.4370296748544656e-06,四川,
盘州,3,4.4370296748544656e-06,贵州,
漯河,3,4.4370296748544656e-06,河南,
淮安,3,4.4370296748544656e-06,江苏,
云浮,3,4.4370296748544656e-06,广东,
陕西,3,4.4370296748544656e-06,陕西,
日照,3,4.4370296748544656e-06,山东,
永康,3,4.4370296748544656e-06,金华,
荣昌,3,4.4370296748544656e-06,重庆,
靖江,4,5.91603956647262e-06,江苏,
三河,4,5.91603956647262e-06,河北,
亳州,4,5.91603956647262e-06,安徽,
毕节,4,5.91603956647262e-06,贵州,
大田,4,5.91603956647262e-06,福建,
邵阳,4,5.91603956647262e-06,湖南,
莱阳,4,5.91603956647262e-06,山东,
陕县,5,7.395049458090776e-06,河南,
阜新,5,7.395049458090776e-06,辽宁,
慈溪,5,7.395049458090776e-06,浙江,
盛冈,5,7.395049458090776e-06,日本,
夹江,6,8.874059349708931e-06,四川,
华阴,6,8.874059349708931e-06,陕西,
赤水,6,8.874059349708931e-06,贵州,
黔南,6,8.874059349708931e-06,贵州,
安庆,6,8.874059349708931e-06,安徽,
和田地区,6,8.874059349708931e-06,新疆,
岳阳,7,1.0353069241327086e-05,湖南,
政和,7,1.0353069241327086e-05,福建,
丹麦,7,1.0353069241327086e-05,国外,
